w_n              t_n
64860.6862745098       0.05
64572.4509803921   0.151743
65475.5882352941   0.253486
65465.9803921569   0.355229
64937.5490196078   0.456972
65446.7647058824   0.558715
65523.6274509804   0.660458
65100.8823529412   0.762201
64111.2745098039   0.863944
64735.7843137255   0.965687
65081.6666666667    1.06743
           65245   1.169173
65148.9215686275   1.270916
65523.6274509804   1.372659
64985.5882352941   1.474402
64697.3529411765   1.576145
65062.4509803922   1.677888
65302.6470588235   1.779631
64322.6470588235   1.881374
65754.2156862745   1.983117
64841.4705882353    2.08486
64601.2745098039   2.186603
64313.0392156863   2.288346
65562.0588235294   2.390089
64774.2156862745   2.491832
64370.6862745098   2.593575
64927.9411764706   2.695318
65302.6470588235   2.797061
65686.9607843137   2.898804
64851.0784313726   3.000547
65552.4509803922    3.10229
64572.4509803922   3.204033
62939.1176470588   3.305776
62602.8431372549   3.407519
63131.2745098039   3.509262
62775.7843137255   3.611005
63035.1960784314   3.712748
62160.8823529412   3.814491
63160.0980392157   3.916234
63659.7058823529   4.017977
62910.2941176471    4.11972
63092.8431372549   4.221463
63650.0980392157   4.323206
63429.1176470588   4.424949
63602.0588235294   4.526692
63131.2745098039   4.628435
62353.0392156863   4.730178
63121.6666666667   4.831921
63448.3333333333   4.933664
63092.8431372549   5.035407
63333.0392156863    5.13715
63630.8823529412   5.238893
63256.1764705883   5.340636
63554.0196078431   5.442379
62900.6862745098   5.544122
63400.2941176471   5.645865
63573.2352941177   5.747608
63438.7254901961   5.849351
63534.8039215686   5.951094
63256.1764705882   6.052837
63746.1764705882    6.15458
63438.7254901961   6.256323
63630.8823529412   6.358066
63169.7058823529   6.459809
63342.6470588235   6.561552
63179.3137254902   6.663295
63467.5490196078   6.765038
63256.1764705882   6.866781
63304.2156862745   6.968524
63371.4705882353   7.070267
63573.2352941177    7.17201
63256.1764705882   7.273753
63256.1764705882   7.375496
63294.6078431373   7.477239
63227.3529411765   7.578982
63726.9607843137   7.680725
62900.6862745098   7.782468
63313.8235294118   7.884211
63140.8823529412   7.985954
62891.0784313726   8.087697
63015.9803921569    8.18944
62602.8431372549   8.291183
63304.2156862745   8.392926
63092.8431372549   8.494669
 63813.431372549   8.596412
63582.8431372549   8.698155
63861.4705882353   8.799898
63256.1764705882   8.901641
 63698.137254902   9.003384
63265.7843137255   9.105127
64111.2745098039    9.20687
 62833.431372549   9.308613
62535.5882352941   9.410356
61968.7254901961   9.512099
62112.8431372549   9.613842
62208.9215686275   9.715585
62064.8039215686   9.817328
 61401.862745098   9.919071
62449.1176470588  10.020814
61843.8235294118  10.122557
61882.2549019608    10.2243
62189.7058823529  10.326043
62170.4901960784  10.427786
61545.9803921569  10.529529
62093.6274509804  10.631272
62429.9019607843  10.733015
61872.6470588235  10.834758
62324.2156862745  10.936501
62919.9019607843  11.038244
61613.2352941176  11.139987
62737.3529411765   11.24173
62362.6470588235  11.343473
62285.7843137255  11.445216
62295.3921568627  11.546959
62064.8039215686  11.648702
62276.1764705882  11.750445
61901.4705882353  11.852188
61949.5098039216  11.953931
62074.4117647059  12.055674
62583.6274509804  12.157417
61824.6078431373   12.25916
 61853.431372549  12.360903
62545.1960784314  12.462646
63044.8039215686  12.564389
62362.6470588235  12.666132
62084.0196078431  12.767875
62208.9215686275  12.869618
62660.4901960784  12.971361
62487.5490196078  13.073104
62160.8823529412  13.174847
61757.3529411765   13.27659
62084.0196078431  13.378333
61805.3921568627  13.480076
62458.7254901961  13.581819
62276.1764705882  13.683562
62487.5490196079  13.785305
62007.1568627451  13.887048
61987.9411764706  13.988791
 62228.137254902  14.090534
62477.9411764706  14.192277
62891.0784313726   14.29402
62314.6078431372  14.395763
61805.3921568627  14.497506
62103.2352941176  14.599249
61920.6862745098  14.700992
62497.1568627451  14.802735
62881.4705882353  14.904478
62199.3137254902  15.006221
62372.2549019608  15.107964
           62795  15.209707
62160.8823529412   15.31145
62218.5294117647  15.413193
62410.6862745098  15.514936
61920.6862745098  15.616679
62862.2549019608  15.718422
62247.3529411765  15.820165
62449.1176470588  15.921908
62708.5294117647  16.023651
62391.4705882353  16.125394
62247.3529411765  16.227137
 62343.431372549   16.32888
 61853.431372549  16.430623
62516.3725490196  16.532366
62554.8039215686  16.634109
62151.2745098039  16.735852
62112.8431372549  16.837595
62064.8039215686  16.939338
62689.3137254902  17.041081
62151.2745098039  17.142824
62746.9607843137  17.244567
62564.4117647059   17.34631
62333.8235294118  17.448053
62353.0392156863  17.549796
 62228.137254902  17.651539
 61853.431372549  17.753282
61766.9607843137  17.855025
62064.8039215686  17.956768
63092.8431372549  18.058511
62151.2745098039  18.160254
61930.2941176471  18.261997
62564.4117647059   18.36374
61795.7843137255  18.465483
62084.0196078431  18.567226
 62228.137254902  18.668969
62055.1960784314  18.770712
62045.5882352941  18.872455
62151.2745098039  18.974198
62035.9803921569  19.075941
62122.4509803922  19.177684
62353.0392156863  19.279427
 62266.568627451   19.38117
61651.6666666667  19.482913
61440.2941176471  19.584656
62362.6470588235  19.686399
62035.9803921569  19.788142
 61853.431372549  19.889885
61709.3137254902  19.991628
62420.2941176471  20.093371
61747.7450980392  20.195114
61968.7254901961  20.296857
62170.4901960784    20.3986
61603.6274509804  20.500343
61766.9607843137  20.602086
61507.5490196079  20.703829
61603.6274509804  20.805572
61584.4117647059  20.907315
62353.0392156863  21.009058
61911.0784313726  21.110801
61747.7450980392  21.212544
61661.2745098039  21.314287
62256.9607843137   21.41603
61661.2745098039  21.517773
61959.1176470588  21.619516
61728.5294117647  21.721259
62007.1568627451  21.823002
61411.4705882353  21.924745
62170.4901960784  22.026488
62016.7647058823  22.128231
61613.2352941177  22.229974
62410.6862745098  22.331717
61690.0980392157   22.43346
61574.8039215686  22.535203
61622.8431372549  22.636946
62324.2156862745  22.738689
61901.4705882353  22.840432
62151.2745098039  22.942175
61834.2156862745  23.043918
61901.4705882353  23.145661
 61738.137254902  23.247404
62035.9803921569  23.349147
62151.2745098039   23.45089
61718.9215686275  23.552633
61834.2156862745  23.654376
61978.3333333333  23.756119
61930.2941176471  23.857862
62708.5294117647  23.959605
62007.1568627451  24.061348
62093.6274509804  24.163091
62132.0588235294  24.264834
61901.4705882353  24.366577
62468.3333333333   24.46832
62468.3333333334  24.570063
62064.8039215686  24.671806
