w_n	t_n
24423.23529	0.05
24557.7451	0.151743
24807.54902	0.253486
24788.33333	0.355229
24845.98039	0.456972
25230.29412	0.558715
25220.68627	0.660458
24596.17647	0.762201
24538.52941	0.863944
24874.80392	0.965687
24990.09804	1.06743
24615.39216	1.169173
24625.00000	1.270916
24807.54902	1.372659
25230.29412	1.474402
24903.62745	1.576145
24826.76471	1.677888
24845.98039	1.779631
24576.96078	1.881374
24845.98039	1.983117
24769.11765	2.08486
24480.88235	2.186603
24874.80392	2.288346
25220.68627	2.390089
24817.15686	2.491832
24135.0000	2.593575
24548.13725	2.695318
24567.35294	2.797061
25018.92157	2.898804
24730.68627	3.000547
25095.78431	3.10229
24346.37255	3.204033
23385.58824	3.305776
23087.7451	3.407519
23606.56863	3.509262
23625.78431	3.611005
23116.56863	3.712748
23126.17647	3.814491
22770.68627	3.916234
23222.2549	4.017977
23260.68627	4.11972
23231.86275	4.221463
23385.58824	4.323206
23750.68627	4.424949
23702.64706	4.526692
23366.37255	4.628435
23174.21569	4.730178
23731.47059	4.831921
23529.70588	4.933664
23885.19608	5.035407
23241.47059	5.13715
23510.4902	5.238893
23231.86275	5.340636
23587.35294	5.442379
23068.52941	5.544122
23702.64706	5.645865
23741.07843	5.747608
23106.96078	5.849351
23375.98039	5.951094
23962.05882	6.052837
23356.76471	6.15458
23645.0000	6.256323
23817.94118	6.358066
23106.96078	6.459809
23741.07843	6.561552
24086.96078	6.663295
23472.05882	6.765038
23914.01961	6.866781
23625.78431	6.968524
23500.88235	7.070267
23529.70588	7.17201
23491.27451	7.273753
23817.94118	7.375496
23962.05882	7.477239
23510.4902	7.578982
23856.37255	7.680725
23126.17647	7.782468
23616.17647	7.884211
23577.7451	7.985954
23539.31373	8.087697
23452.84314	8.18944
22972.45098	8.291183
23625.78431	8.392926
23587.35294	8.494669
23279.90196	8.596412
23760.29412	8.698155
23616.17647	8.799898
23481.66667	8.901641
23779.5098	9.003384
24154.21569	9.105127
23789.11765	9.20687
23049.31373	9.308613
22434.41176	9.410356
22290.29412	9.512099
22309.5098	9.613842
22732.2549	9.715585
22155.78431	9.817328
22194.21569	9.919071
22655.39216	10.020814
22511.27451	10.122557
22290.29412	10.2243
22347.94118	10.326043
22818.72549	10.427786
22424.80392	10.529529
22251.86275	10.631272
22511.27451	10.733015
22530.4902	10.834758
22588.13725	10.936501
22482.45098	11.038244
22136.56863	11.139987
22607.35294	11.24173
22415.19608	11.343473
22299.90196	11.445216
22559.31373	11.546959
22809.11765	11.648702
22472.84314	11.750445
22165.39216	11.852188
22463.23529	11.953931
22357.54902	12.055674
22540.09804	12.157417
22290.29412	12.25916
22347.94118	12.360903
22578.52941	12.462646
22674.60784	12.564389
22847.54902	12.666132
22789.90196	12.767875
22271.07843	12.869618
23337.54902	12.971361
22223.03922	13.073104
22607.35294	13.174847
22520.88235	13.27659
22405.58824	13.378333
22943.62745	13.480076
22665.00000	13.581819
22530.4902	13.683562
22847.54902	13.785305
22597.7451	13.887048
22607.35294	13.988791
22492.05882	14.090534
22597.7451	14.192277
22223.03922	14.29402
22232.64706	14.395763
22655.39216	14.497506
22453.62745	14.599249
22232.64706	14.700992
22280.68627	14.802735
22444.01961	14.904478
22607.35294	15.006221
22453.62745	15.107964
22703.43137	15.209707
22319.11765	15.31145
22520.88235	15.413193
22520.88235	15.514936
22674.60784	15.616679
22626.56863	15.718422
22347.94118	15.820165
22319.11765	15.921908
22511.27451	16.023651
22472.84314	16.125394
23049.31373	16.227137
22271.07843	16.32888
22463.23529	16.430623
22511.27451	16.532366
22626.56863	16.634109
22376.76471	16.735852
22357.54902	16.837595
22338.33333	16.939338
22511.27451	17.041081
22472.84314	17.142824
22636.17647	17.244567
22424.80392	17.34631
22415.19608	17.448053
22732.2549	17.549796
22741.86275	17.651539
22395.98039	17.753282
22328.72549	17.855025
22251.86275	17.956768
22492.05882	18.058511
22213.43137	18.160254
22309.5098	18.261997
22434.41176	18.36374
22405.58824	18.465483
22616.96078	18.567226
22578.52941	18.668969
22184.60784	18.770712
22328.72549	18.872455
22261.47059	18.974198
22319.11765	19.075941
22021.27451	19.177684
22328.72549	19.279427
22415.19608	19.38117
22415.19608	19.482913
21982.84314	19.584656
22463.23529	19.686399
22242.2549	19.788142
22280.68627	19.889885
22280.68627	19.991628
22309.5098	20.093371
22050.09804	20.195114
22338.33333	20.296857
22444.01961	20.3986
22175.0000	20.500343
22261.47059	20.602086
22309.5098	20.703829
22194.21569	20.805572
22040.4902	20.907315
22280.68627	21.009058
22290.29412	21.110801
22693.82353	21.212544
22126.96078	21.314287
22328.72549	21.41603
22376.76471	21.517773
22309.5098	21.619516
22520.88235	21.721259
22002.05882	21.823002
22165.39216	21.924745
22117.35294	22.026488
22607.35294	22.128231
22309.5098	22.229974
22482.45098	22.331717
22232.64706	22.43346
22184.60784	22.535203
22002.05882	22.636946
22242.2549	22.738689
22338.33333	22.840432
22223.03922	22.942175
22117.35294	23.043918
22194.21569	23.145661
22251.86275	23.247404
22328.72549	23.349147
22059.70588	23.45089
22213.43137	23.552633
22107.7451	23.654376
22434.41176	23.756119
22386.37255	23.857862
22597.7451	23.959605
22088.52941	24.061348
22338.33333	24.163091
22050.09804	24.264834
22251.86275	24.366577
22184.60784	24.46832
22444.01961	24.570063
22011.66667	24.671806
22386.37255	24.773549
22280.68627	24.875292
22453.62745	24.977035
22665.0000	25.078778
22117.35294	25.180521
22347.94118	25.282264
22213.43137	25.384007
22540.09804	25.48575
22492.05882	25.587493
22021.27451	25.689236
22732.2549	25.790979
22271.07843	25.892722
21944.41176	25.994465
22232.64706	26.096208
22251.86275	26.197951
22472.84314	26.299694
22540.09804	26.401437
22271.07843	26.50318
22357.54902	26.604923
22117.35294	26.706666
22155.78431	26.808409
22472.84314	26.910152
22492.05882	27.011895
22242.2549	27.113638
22482.45098	27.215381
22347.94118	27.317124
22050.09804	27.418867
22540.09804	27.52061
22136.56863	27.622353
22415.19608	27.724096
22511.27451	27.825839
